Period_Time,Em_CO2,gat
1900,1.9,-0.07
1901,2.1,-0.15
1902,2.2,-0.26
1903,2.3,-0.37
1904,2.4,-0.45
1905,2.5,-0.27
1906,2.5,-0.2
1907,2.9,-0.38
1908,2.8,-0.43
1909,2.9,-0.44
1910,3,-0.4
1911,3.1,-0.44
1912,3.2,-0.34
1913,3.5,-0.32
1914,3.1,-0.14
1915,3.1,-0.09
1916,3.3,-0.32
1917,3.5,-0.4
1918,3.5,-0.3
1919,3,-0.25
1920,3.5,-0.23
1921,3,-0.16
1922,3.2,-0.25
1923,3.6,-0.25
1924,3.6,-0.24
1925,3.7,-0.18
1926,3.6,-0.07
1927,3.9,-0.17
1928,3.9,-0.18
1929,4.2,-0.33
1930,3.9,-0.11
1931,3.4,-0.06
1932,3.1,-0.13
1933,3.3,-0.26
1934,3.4,-0.11
1935,3.7,-0.15
1936,4.1,-0.12
1937,4.4,-0.01
1938,4.1,-0.02
1939,4.3,0.01
1940,4.7,0.16
1941,4.8,0.27
1942,4.9,0.11
1943,5.1,0.11
1944,5,0.28
1945,4.2,0.18
1946,4.6,-0.01
1947,5,-0.03
1948,5.3,-0.05
1949,5,-0.07
1950,5.6,-0.15
1951,6,0
1952,6.1,0.04
1953,6.2,0.13
1954,6.4,-0.1
1955,7,-0.13
1956,7.4,-0.18
1957,7.6,0.07
1958,7.8,0.12
1959,8.2,0.08
1960,8.7,0.05
1961,8.7,0.09
1962,9.1,0.11
1963,9.6,0.12
1964,10,-0.14
1965,10.5,-0.07
1966,11,-0.01
1967,11.3,0
1968,11.9,-0.03
1969,12.7,0.1
1970,13.7,0.06
1971,13.9,-0.07
1972,14.6,0.04
1973,15.5,0.19
1974,15.4,-0.06
1975,15.5,0.01
1976,16.3,-0.07
1977,16.9,0.21
1978,17.4,0.12
1979,17.9,0.23
1980,17.8,0.28
1981,17.5,0.32
1982,17.3,0.19
1983,17.5,0.36
1984,18,0.17
1985,18.6,0.16
1986,19,0.23
1987,19.6,0.38
1988,20.3,0.39
1989,20.8,0.29
1990,21.4,0.45
1991,21.5,0.39
1992,21.5,0.24
1993,21.6,0.28
1994,21.7,0.34
1995,22.4,0.47
1996,22.8,0.32
1997,23.3,0.51
1998,23.4,0.65
1999,23.6,0.44
2000,24.3,0.42
2001,24.7,0.57
2002,25.2,0.62
2003,26.3,0.64
2004,27.5,0.58
2005,28.6,0.66
2006,29.6,0.63
2007,30.7,0.61
2008,30.9,0.54
2009,30.5,0.64
2010,32.4,0.72
2011,33.5,0.57
2012,33.9,0.63
2013,34.5,0.67
2014,34.7,0.74
2015,34.6,0.92
2016,34.6,0.99
2017,35.2,0.9
2018,36.1,0.82
2019,36.1,0.94
2020,34.2,0.97
2021,36.3,0.84
