year,month,anomaly
1980,1,0.38
1980,2,0.469
1980,3,0.37
1980,4,0.422
1980,5,0.385
1980,6,0.219
1980,7,0.306
1980,8,0.272
1980,9,0.206
1980,10,0.164
1980,11,0.265
1980,12,0.233
1981,1,0.575
1981,2,0.422
1981,3,0.45
1981,4,0.328
1981,5,0.279
1981,6,0.375
1981,7,0.383
1981,8,0.431
1981,9,0.221
1981,10,0.147
1981,11,0.2
1981,12,0.489
1982,1,0.132
1982,2,0.157
1982,3,-0.012
1982,4,0.106
1982,5,0.197
1982,6,0.112
1982,7,0.137
1982,8,0.084
1982,9,0.144
1982,10,0.131
1982,11,0.094
1982,12,0.434
1983,1,0.487
1983,2,0.445
1983,3,0.367
1983,4,0.346
1983,5,0.386
1983,6,0.236
1983,7,0.173
1983,8,0.364
1983,9,0.413
1983,10,0.166
1983,11,0.261
1983,12,0.231
1984,1,0.286
1984,2,0.144
1984,3,0.289
1984,4,0.173
1984,5,0.382
1984,6,0.095
1984,7,0.051
1984,8,0.155
1984,9,0.223
1984,10,0.109
1984,11,-0.018
1984,12,-0.03
1985,1,0.286
1985,2,0.04
1985,3,0.176
1985,4,0.172
1985,5,0.21
1985,6,0.18
1985,7,-0.012
1985,8,0.206
1985,9,0.152
1985,10,0.137
1985,11,0.066
1985,12,0.213
1986,1,0.24
1986,2,0.429
1986,3,0.262
1986,4,0.326
1986,5,0.282
1986,6,0.118
1986,7,0.108
1986,8,0.188
1986,9,0.098
1986,10,0.161
1986,11,0.082
1986,12,0.184
1987,1,0.353
1987,2,0.4
1987,3,0.221
1987,4,0.296
1987,5,0.32
1987,6,0.384
1987,7,0.439
1987,8,0.326
1987,9,0.353
1987,10,0.325
1987,11,0.203
1987,12,0.514
1988,1,0.558
1988,2,0.429
1988,3,0.464
1988,4,0.504
1988,5,0.451
1988,6,0.444
1988,7,0.333
1988,8,0.417
1988,9,0.393
1988,10,0.321
1988,11,0.058
1988,12,0.294
1989,1,0.075
1989,2,0.356
1989,3,0.309
1989,4,0.338
1989,5,0.125
1989,6,0.154
1989,7,0.33
1989,8,0.34
1989,9,0.352
1989,10,0.335
1989,11,0.14
1989,12,0.452
1990,1,0.422
1990,2,0.395
1990,3,0.739
1990,4,0.649
1990,5,0.549
1990,6,0.404
1990,7,0.466
1990,8,0.35
1990,9,0.315
1990,10,0.441
1990,11,0.391
1990,12,0.431
1991,1,0.443
1991,2,0.525
1991,3,0.384
1991,4,0.6
1991,5,0.445
1991,6,0.543
1991,7,0.515
1991,8,0.451
1991,9,0.454
1991,10,0.349
1991,11,0.297
1991,12,0.394
1992,1,0.502
1992,2,0.446
1992,3,0.465
1992,4,0.339
1992,5,0.337
1992,6,0.28
1992,7,0.124
1992,8,0.114
1992,9,-0.03
1992,10,0.051
1992,11,0.002
1992,12,0.255
1993,1,0.403
1993,2,0.431
1993,3,0.382
1993,4,0.364
1993,5,0.351
1993,6,0.307
1993,7,0.279
1993,8,0.207
1993,9,0.204
1993,10,0.289
1993,11,0.116
1993,12,0.24
1994,1,0.302
1994,2,0.105
1994,3,0.369
1994,4,0.451
1994,5,0.356
1994,6,0.447
1994,7,0.288
1994,8,0.245
1994,9,0.342
1994,10,0.447
1994,11,0.421
1994,12,0.393
1995,1,0.53
1995,2,0.775
1995,3,0.477
1995,4,0.582
1995,5,0.384
1995,6,0.51
1995,7,0.539
1995,8,0.54
1995,9,0.407
1995,10,0.513
1995,11,0.46
1995,12,0.343
1996,1,0.335
1996,2,0.584
1996,3,0.448
1996,4,0.459
1996,5,0.326
1996,6,0.278
1996,7,0.367
1996,8,0.53
1996,9,0.294
1996,10,0.207
1996,11,0.423
1996,12,0.48
1997,1,0.37
1997,2,0.427
1997,3,0.556
1997,4,0.499
1997,5,0.445
1997,6,0.619
1997,7,0.402
1997,8,0.459
1997,9,0.574
1997,10,0.699
1997,11,0.701
1997,12,0.662
1998,1,0.655
1998,2,0.886
1998,3,0.68
1998,4,0.803
1998,5,0.77
1998,6,0.79
1998,7,0.722
1998,8,0.758
1998,9,0.504
1998,10,0.489
1998,11,0.481
1998,12,0.66
1999,1,0.505
1999,2,0.691
1999,3,0.386
1999,4,0.415
1999,5,0.346
1999,6,0.439
1999,7,0.394
1999,8,0.371
1999,9,0.47
1999,10,0.396
